expected_time,prop_arriving_within_expected_time,prop_haemo_of_prop_arriving_within_expected_time,prop_nlvo_of_prop_arriving_within_expected_time,prop_lvo_of_prop_arriving_within_expected_time,prop_haemo_arriving_within_expected_time,prop_nlvo_arriving_within_expected_time,prop_lvo_arriving_within_expected_time,prop_haemo_of_prop_arriving_after_expected_time,prop_nlvo_of_prop_arriving_after_expected_time,prop_lvo_of_prop_arriving_after_expected_time,prop_haemo_arriving_after_expected_time,prop_nlvo_arriving_after_expected_time,prop_lvo_arriving_after_expected_time
1.0,0.05991,0.15957,0.49172,0.34871,0.00956,0.02946,0.02089,0.13094,0.6641,0.20496,0.1231,0.62431,0.19269
2.0,0.26796,0.15649,0.54775,0.29576,0.04193,0.14678,0.07925,0.12393,0.69258,0.18349,0.09072,0.50699,0.13432
3.0,0.3768,0.15302,0.5747,0.27227,0.05766,0.21655,0.10259,0.12034,0.70157,0.17809,0.075,0.43722,0.11098
4.0,0.43734,0.15031,0.58849,0.2612,0.06574,0.25737,0.11423,0.11893,0.70451,0.17656,0.06692,0.3964,0.09935
5.0,0.47625,0.14795,0.59724,0.25481,0.07046,0.28443,0.12135,0.11875,0.70517,0.17608,0.0622,0.36933,0.09222
6.0,0.50532,0.14613,0.60356,0.25031,0.07384,0.30499,0.12649,0.11889,0.70506,0.17605,0.05881,0.34878,0.08709
7.0,0.52709,0.14467,0.60875,0.24658,0.07625,0.32087,0.12997,0.11927,0.70394,0.17679,0.0564,0.3329,0.0836
8.0,0.54381,0.14351,0.61259,0.2439,0.07804,0.33313,0.13263,0.11971,0.70285,0.17743,0.05461,0.32064,0.08094
9.0,0.55778,0.14252,0.61602,0.24145,0.0795,0.3436,0.13468,0.12021,0.70138,0.17842,0.05316,0.31016,0.0789
10.0,0.56997,0.14176,0.61867,0.23957,0.0808,0.35262,0.13655,0.12059,0.70029,0.17912,0.05186,0.30115,0.07703
11.0,0.58085,0.14093,0.62111,0.23796,0.08186,0.36077,0.13822,0.12118,0.69903,0.17979,0.05079,0.293,0.07536
12.0,0.59114,0.14025,0.62319,0.23656,0.08291,0.36839,0.13984,0.12167,0.69798,0.18035,0.04975,0.28538,0.07374
13.0,0.60045,0.13962,0.62492,0.23546,0.08383,0.37523,0.14138,0.12219,0.69712,0.18069,0.04882,0.27854,0.0722
14.0,0.60981,0.13904,0.62646,0.2345,0.08479,0.38203,0.143,0.12268,0.69645,0.18088,0.04787,0.27174,0.07058
15.0,0.6177,0.13858,0.62783,0.23359,0.0856,0.38781,0.14429,0.12308,0.69567,0.18124,0.04706,0.26596,0.06929
16.0,0.62483,0.1381,0.62896,0.23294,0.08629,0.39299,0.14555,0.12359,0.69509,0.18132,0.04637,0.26078,0.06803
17.0,0.63095,0.13771,0.6302,0.23209,0.08689,0.39763,0.14644,0.12401,0.69406,0.18192,0.04577,0.25614,0.06714
18.0,0.63641,0.13737,0.63117,0.23146,0.08742,0.40168,0.1473,0.1244,0.69332,0.18228,0.04523,0.25209,0.06628
19.0,0.64122,0.137,0.63214,0.23085,0.08785,0.40534,0.14803,0.12488,0.69242,0.1827,0.04481,0.24843,0.06555
20.0,0.64568,0.13669,0.63302,0.23029,0.08826,0.40873,0.14869,0.1253,0.69158,0.18312,0.0444,0.24504,0.06488
21.0,0.6497,0.13639,0.63398,0.22964,0.08861,0.4119,0.1492,0.12573,0.69048,0.18379,0.04404,0.24187,0.06438
22.0,0.65337,0.13615,0.63471,0.22914,0.08896,0.4147,0.14971,0.12607,0.6897,0.18424,0.0437,0.23907,0.06386
23.0,0.6567,0.13584,0.63557,0.22859,0.08921,0.41738,0.15012,0.12656,0.68859,0.18485,0.04345,0.23639,0.06346
24.0,0.66038,0.13554,0.63659,0.22787,0.08951,0.4204,0.15048,0.12705,0.68717,0.18578,0.04315,0.23337,0.0631
