expected_time,prop_nlvo,prop_lvo,prop_haemo
1.0,0.48389,0.35653,0.15957
2.0,0.54139,0.30213,0.15648
3.0,0.56906,0.27792,0.15303
4.0,0.58305,0.26663,0.15032
5.0,0.59192,0.26014,0.14795
6.0,0.59843,0.25544,0.14613
7.0,0.60375,0.25159,0.14466
8.0,0.60769,0.24878,0.14351
9.0,0.61121,0.24626,0.14253
10.0,0.61393,0.24433,0.14176
11.0,0.61641,0.24266,0.14093
12.0,0.61855,0.24119,0.14025
13.0,0.62033,0.24004,0.13961
14.0,0.62193,0.23904,0.13904
15.0,0.62334,0.23808,0.13858
16.0,0.62451,0.23738,0.1381
17.0,0.62579,0.2365,0.13771
18.0,0.62678,0.23584,0.13736
19.0,0.62779,0.23521,0.137
20.0,0.6287,0.23462,0.13669
21.0,0.62968,0.23394,0.13639
22.0,0.63044,0.23342,0.13616
23.0,0.63131,0.23285,0.13585
24.0,0.63236,0.23211,0.13554
inf,0.65056,0.21679,0.13265
