expected_onset_to_arrival_time,total,haemo,lvo,nlvo,no_treatment,haemo_no_treatment,lvo_no_treatment,nlvo_no_treatment,mt,ivt,ivt_mt,lvo_ivt,nlvo_ivt,lvo_ivt_only,lvo_mt_only,lvo_ivt_mt,nlvo_ivt_only,nlvo_mt_only,nlvo_ivt_mt,mt_also_ivt,ivt_also_lvo
1,15507.0,0.15973,0.35732,0.48294,0.58335,0.15973,0.12369,0.29993,0.04372,0.40543,0.0325,0.22242,0.18301,0.18991,0.01122,0.0325,0.18301,0.0,0.0,0.74336,0.54859
2,74745.0,0.15644,0.3031,0.54046,0.63842,0.15644,0.12284,0.35914,0.03283,0.35337,0.02463,0.17205,0.18132,0.14742,0.0082,0.02463,0.18132,0.0,0.0,0.7502,0.48688
3,106180.0,0.153,0.27825,0.56874,0.66973,0.153,0.12105,0.39568,0.02845,0.32273,0.02092,0.14967,0.17306,0.12875,0.00753,0.02092,0.17306,0.0,0.0,0.73519,0.46376
4,123531.0,0.1503,0.26677,0.58293,0.69261,0.1503,0.12217,0.42014,0.02679,0.29975,0.01915,0.13695,0.16279,0.1178,0.00764,0.01915,0.16279,0.0,0.0,0.7148,0.4569
5,134651.0,0.14798,0.26029,0.59173,0.71474,0.14798,0.12568,0.44108,0.0257,0.27736,0.01781,0.12671,0.15065,0.1089,0.00789,0.01781,0.15065,0.0,0.0,0.69286,0.45685
6,142947.0,0.14615,0.25552,0.59833,0.73038,0.14615,0.12814,0.45609,0.02468,0.26181,0.01687,0.11957,0.14224,0.1027,0.00781,0.01687,0.14224,0.0,0.0,0.68339,0.4567
7,149162.0,0.14467,0.25169,0.60364,0.74107,0.14467,0.12924,0.46716,0.02396,0.25117,0.0162,0.11469,0.13648,0.09849,0.00776,0.0162,0.13648,0.0,0.0,0.67599,0.45661
8,153943.0,0.14353,0.24887,0.6076,0.74878,0.14353,0.12996,0.47529,0.0234,0.24352,0.0157,0.11121,0.13231,0.09551,0.0077,0.0157,0.13231,0.0,0.0,0.67083,0.45668
9,157896.0,0.14252,0.24636,0.61112,0.7549,0.14252,0.13029,0.48208,0.02293,0.23748,0.01531,0.10844,0.12903,0.09314,0.00763,0.01531,0.12903,0.0,0.0,0.6675,0.45665
10,161386.0,0.14179,0.24438,0.61383,0.75992,0.14179,0.13059,0.48753,0.02262,0.23245,0.01499,0.10615,0.1263,0.09116,0.00763,0.01499,0.1263,0.0,0.0,0.66256,0.45666
11,164458.0,0.14097,0.2427,0.61633,0.7642,0.14097,0.13088,0.49235,0.02232,0.2282,0.01472,0.10422,0.12398,0.0895,0.00759,0.01472,0.12398,0.0,0.0,0.65967,0.4567
12,167369.0,0.14024,0.24121,0.61855,0.76818,0.14024,0.13122,0.49672,0.02204,0.22425,0.01447,0.10242,0.12183,0.08795,0.00757,0.01447,0.12183,0.0,0.0,0.65655,0.45673
13,170019.0,0.13963,0.24007,0.6203,0.77173,0.13963,0.13173,0.50037,0.02177,0.22075,0.01425,0.10082,0.11993,0.08658,0.00752,0.01425,0.11993,0.0,0.0,0.65442,0.45673
14,172673.0,0.13905,0.23905,0.6219,0.77515,0.13905,0.13228,0.50382,0.02152,0.21736,0.01403,0.09927,0.11808,0.08525,0.00749,0.01403,0.11808,0.0,0.0,0.65178,0.45673
15,174930.0,0.13859,0.23813,0.62328,0.778,0.13859,0.13269,0.50672,0.02129,0.21455,0.01385,0.09799,0.11656,0.08415,0.00745,0.01385,0.11656,0.0,0.0,0.6502,0.45673
16,176957.0,0.13812,0.23741,0.62447,0.7805,0.13812,0.13313,0.50924,0.02109,0.2121,0.01369,0.09687,0.11523,0.08318,0.0074,0.01369,0.11523,0.0,0.0,0.64898,0.45673
17,178698.0,0.13772,0.23651,0.62577,0.78262,0.13772,0.13324,0.51167,0.0209,0.21003,0.01355,0.09593,0.1141,0.08237,0.00735,0.01355,0.1141,0.0,0.0,0.64846,0.45673
18,180249.0,0.13738,0.23587,0.62676,0.78446,0.13738,0.13345,0.51363,0.02075,0.20822,0.01344,0.0951,0.11312,0.08166,0.00732,0.01344,0.11312,0.0,0.0,0.64742,0.45673
19,181601.0,0.137,0.23522,0.62778,0.78605,0.137,0.13355,0.5155,0.02062,0.20667,0.01334,0.09439,0.11228,0.08106,0.00728,0.01334,0.11228,0.0,0.0,0.6469,0.45673
20,182879.0,0.1367,0.23463,0.62868,0.78753,0.1367,0.13365,0.51718,0.02049,0.20523,0.01324,0.09373,0.11149,0.08049,0.00725,0.01324,0.11149,0.0,0.0,0.64638,0.45673
21,184020.0,0.1364,0.23396,0.62964,0.78883,0.1364,0.13359,0.51883,0.02038,0.20396,0.01316,0.09315,0.1108,0.07999,0.00722,0.01316,0.1108,0.0,0.0,0.64587,0.45673
22,185059.0,0.13613,0.23343,0.63044,0.79001,0.13613,0.13363,0.52026,0.02026,0.20281,0.01309,0.09263,0.11018,0.07954,0.00718,0.01309,0.11018,0.0,0.0,0.64587,0.45673
23,186005.0,0.13585,0.23288,0.63127,0.79108,0.13585,0.13358,0.52165,0.02017,0.20178,0.01302,0.09216,0.10962,0.07914,0.00714,0.01302,0.10962,0.0,0.0,0.64569,0.45673
24,187012.0,0.13555,0.23213,0.63232,0.7922,0.13555,0.13337,0.52329,0.02006,0.20069,0.01295,0.09166,0.10903,0.07871,0.00711,0.01295,0.10903,0.0,0.0,0.64569,0.45673
inf,283285.0,0.13265,0.21679,0.65056,0.85988,0.13265,0.1495,0.57773,0.01449,0.13433,0.00871,0.0615,0.07283,0.05279,0.00579,0.00871,0.07283,0.0,0.0,0.60083,0.45784
